name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Kvänum Kök i Helsingborg AB",556266-5603,11595,2,"252 23 Helsingborg","Hälsokost, naturläkemedel;Livsmedel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/kv%C3%A4num-k%C3%B6k-i-helsingborg-ab/helsingborg/-/5562665603
"Kung Pao Design AB",556997-7100,10963,16,"024
10 963","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/kung-pao-design-ab/m%C3%A4rsta/-/5569977100
"Kulturbelysning AB",556591-9270,10147,5,"254 76 Allerum","Belysningsarmatur - Komponenter;Fastighetsbolag, lokaler;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/kulturbelysning-ab/allerum/-/5565919270
"Korner Trading AB",556112-0691,11739,5,"441 30 Alingsås","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/korner-trading-ab/alings%C3%A5s/-/5561120691
"Kontorsutrustning i Hälsingland Aktiebolag",556483-8109,11368,6,"824 34 Hudiksvall","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/kontorsutrustning-i-h%C3%A4lsingland-aktiebolag/hudiksvall/-/5564838109
"Kontorsfunktion P Persson AB",556172-7040,14804,5,"235 94 Vellinge","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/kontorsfunktion-p-persson-ab/vellinge/-/5561727040
"Kontor Ett brm Aktiebolag",556504-6462,19704,5,"602 28 Norrköping","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/kontor-ett-brm-aktiebolag/norrk%C3%B6ping/-/5565046462
"Konsertteknik i Uppsala AB",556567-9452,11006,2,"753 23 Uppsala","Evenemangsproduktioner;Uthyrning;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/konsertteknik-i-uppsala-ab/uppsala/-/5565679452
"Kolmårdskök AB",556655-1437,18696,9,"602 23 Norrköping","Byggmästare;Köksinredningar;Möbler;Snickeriarbeten;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/kolm%C3%A5rdsk%C3%B6k-ab/norrk%C3%B6ping/-/5566551437
"Kokoskorven AB",556830-6046,17485,15,"413 01 Göteborg","Postorder/e-handel;Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kokoskorven-ab/g%C3%B6teborg/-/5568306046
"Knut mattor och textilier AB",556664-4182,11162,2,"114 38 Stockholm","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/knut-mattor-och-textilier-ab/stockholm/-/5566644182
"Klostra Handelsträdgård AB",556881-2142,18697,6,"182 70 Stocksund","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Butikshandel -övrigt;Detaljhandel",https://www.allabolag.se/foretag/klostra-handelstr%C3%A4dg%C3%A5rd-ab/stocksund/-/5568812142
"Klong Intermestic AB",556554-2759,16204,4,"181 70 Lidingö","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/klong-intermestic-ab/liding%C3%B6/-/5565542759
"Klippa Frisörerna Sverige AB",556996-8539,18500,25,"439 94 Onsala","Kontorsinredningar;Grossister;Hudvårdsprodukter",https://www.allabolag.se/foretag/klippa-fris%C3%B6rerna-sverige-ab/onsala/-/5569968539
"Kitchen and beyond AB",559014-3565,11216,1-4,"411 26 Göteborg","Köksinredningar;Restauranger;Trävaror;Grossister;Möbler, inredning, kök- och belysningsutrustning;Trä och byggvaror - grossist;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kitchen-and-beyond-ab/g%C3%B6teborg/-/5590143565
"Kirsch Sweden AB",556765-4099,14587,4,"332 36 Gislaved","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/kirsch-sweden-ab/gislaved/-/5567654099
"Kamincenter i Eskilstuna Aktiebolag",556390-6394,13227,5,"644 30 Torshälla","Byggmästare;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kamincenter-i-eskilstuna-aktiebolag/torsh%C3%A4lla/-/5563906394
"Kaminbutiken i Jönköping AB",556680-0685,15718,6,"554 75 Jönköping","Byggmästare;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/kaminbutiken-i-j%C3%B6nk%C3%B6ping-ab/j%C3%B6nk%C3%B6ping/-/5566800685
"KM Lack Kaj Munther Aktiebolag",556428-4890,14520,12,"662 34 Åmål","Belysningsarmatur - Komponenter;Metaller, legeringar;Radio TV, video;Video, film - Inspelning, produktion;Grossister;Metallurgisk industri;Detaljhandel",https://www.allabolag.se/foretag/km-lack-kaj-munther-aktiebolag/%C3%A5m%C3%A5l/-/5564284890
"Juniper of Sweden AB",559170-1072,16011,4,"114 38 Stockholm","Postorder/e-handel;Mattor;Läder, skor, inredning, reseeffekter och textilier;Detaljhandel",https://www.allabolag.se/foretag/juniper-of-sweden-ab/stockholm/-/5591701072
"Jonas Wyke Aktiebolag",556934-4566,12415,4,"269 31 Båstad","Möbler;Redovisning, bokföring;Skatterådgivning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/jonas-wyke-aktiebolag/b%C3%A5stad/-/5569344566
"Jocke i Staffanstorp AB",556809-9765,14062,3,"025
14 062","Postorder/e-handel;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/jocke-i-staffanstorp-ab/staffanstorp/-/5568099765
"JespAir AB",556877-2213,10490,1,"191 40 Sollentuna","Belysningsarmatur - Komponenter;Agenturer;Spedition;Transportförmedling;Grossister;Kulturskolor och undervisning;Möbler, hushållsartiklar och järnvaror - agentur;Skolor och utbildning",https://www.allabolag.se/foretag/jespair-ab/sollentuna/-/5568772213
"Janerdahls Elaffär Aktiebolag",556340-0273,16574,6,"341 31 Ljungby","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/janerdahls-elaff%C3%A4r-aktiebolag/ljungby/-/5563400273
"JRM Nordic AB",556730-2822,15291,12,"531 33 Lidköping","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/jrm-nordic-ab/lidk%C3%B6ping/-/5567302822
"J F Johanssons Golv Aktiebolag",556087-6368,10645,7,"436 32 Askim","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/j-f-johanssons-golv-aktiebolag/askim/-/5560876368
"Itseco AB",559263-7523,10360,5,"753 23 Uppsala","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/itseco-ab/uppsala/-/5592637523
"Israelsson Design & Consulting AB",556835-4095,16574,4,"645 30 Strängnäs","Belysningsarmatur - Komponenter;Designers, formgivare;Guld, silver, ädelstenar;Klockor, ur;Industridesigners;Postorder/e-handel;Grossister;Urmakare;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/israelsson-design-consulting-ab/str%C3%A4ngn%C3%A4s/-/5568354095
"Interiörbutiken i Wasastan AB",556574-2235,17006,7,"702 27 Örebro","Hotell;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/interi%C3%B6rbutiken-i-wasastan-ab/%C3%B6rebro/-/5565742235
"Inspiration & Färg i Vetlanda AB",556723-0577,14007,10,"574 31 Vetlanda","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/inspiration-f%C3%A4rg-i-vetlanda-ab/vetlanda/-/5567230577
"Inredningshuset i Sundsvall AB",556267-0991,17842,8,"853 50 Sundsvall","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/inredningshuset-i-sundsvall-ab/sundsvall/-/5562670991
"Inredningsgalleriet i Skåne AB",556736-5092,12755,4,"254 67 Helsingborg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/inredningsgalleriet-i-sk%C3%A5ne-ab/helsingborg/-/5567365092
"Ilsbo B & S AB",556571-3582,12302,6,"829 91 Ilsbo","Bilar;Bilreparationer;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Bensinstationer",https://www.allabolag.se/foretag/ilsbo-b-s-ab/ilsbo/-/5565713582
"Ideas AB",556366-8929,17654,7,"211 20 Malmö","Arkitekter;Designers, formgivare;Konsulter;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/ideas-ab/malm%C3%B6/-/5563668929
"INTRO Homestyling & Interior AB",556663-4662,14142,4,"426 52 Västra Frölunda","Arkitekter;Belysningsarmatur - Komponenter;Designers, formgivare;Byggentreprenader-Infrastruktur;Konsulter;Teknikkonsulter;Grossister",https://www.allabolag.se/foretag/intro-homestyling-interior-ab/v%C3%A4stra-fr%C3%B6lunda/-/5566634662
"INNOGUARD AB",556774-6887,12792,11,"243 32 Höör","Kontorsinredningar;Maskinförnödenheter;Grossister;Maskinförnödenheter - tillverkning;Producenter",https://www.allabolag.se/foretag/innoguard-ab/h%C3%B6%C3%B6r/-/5567746887
"I.K.-Form i Värnamo Aktiebolag",556200-2039,12564,5,"331 37 Värnamo","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/i.k.-form-i-v%C3%A4rnamo-aktiebolag/v%C3%A4rnamo/-/5562002039
"I P Målarboden Aktiebolag",556289-8865,10467,3,"776 33 Hedemora","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/i-p-m%C3%A5larboden-aktiebolag/hedemora/-/5562898865
"Högbo Qvarn AB",559103-1330,12692,10,"811 92 Sandviken","Restauranger;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/h%C3%B6gbo-qvarn-ab/sandviken/-/5591031330
"Håbeco Protection AB",556547-2312,11390,3,"721 33 Västerås","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/h%C3%A5beco-protection-ab/v%C3%A4ster%C3%A5s/-/5565472312
"Hästens Beds Retail Sweden AB",556600-8008,16605,4,"024
16 605","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/h%C3%A4stens-beds-retail-sweden-ab/k%C3%B6ping/-/5566008008
"House of Light Sweden AB",556878-2188,13456,3,"421 30 Västra Frölunda","Belysningsarmatur - Komponenter;Konsulter;Teknikkonsulter;Grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/house-of-light-sweden-ab/v%C3%A4stra-fr%C3%B6lunda/-/5568782188
"Hotel Supply Scandinavia AB",556646-6123,11433,2,"254 66 Helsingborg","Kontorsinredningar;Textilier;Grossister;Textilier - Partihandel",https://www.allabolag.se/foretag/hotel-supply-scandinavia-ab/helsingborg/-/5566466123
"Home Structures Sweden AB",556490-5270,10010,2,"167 51 Bromma","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/home-structures-sweden-ab/bromma/-/5564905270
"Holmek Holding AB",559220-8895,10207,1-4,"602 23 Norrköping","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/holmek-holding-ab/norrk%C3%B6ping/-/5592208895
"Hjärterum Design och Interiör AB",556649-7052,13296,6,"025
13 296","Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hj%C3%A4rterum-design-och-interi%C3%B6r-ab/bor%C3%A5s/-/5566497052
"Hemmaplan Badrum Aktiebolag",556660-8013,10776,4,"721 36 Västerås","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/hemmaplan-badrum-aktiebolag/v%C3%A4ster%C3%A5s/-/5566608013
"Hemcompaniet AB",559423-6266,17021,7,"652 25 Karlstad","Belysningsarmatur - Komponenter;Köksinredningar;Grossister;Kontorstjänster;Köksinredningar - agentur och grossist;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/hemcompaniet-ab/karlstad/-/5594236266
"Hedlandets Varuhus AB",556458-3119,12580,6,"647 92 Mariefred","Spel, nöjesanläggningsutrustningar;Textilier;Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Butikshandel -övrigt;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/hedlandets-varuhus-ab/mariefred/-/5564583119
"Hasselgrens Glas & Porslin Aktiebolag",556270-3313,16196,4,"223 50 Lund","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hasselgrens-glas-porslin-aktiebolag/lund/-/5562703313
"Harald Svenssons Måleriaffär Aktiebolag",556588-9622,16863,4,"572 36 Oskarshamn","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/harald-svenssons-m%C3%A5leriaff%C3%A4r-aktiebolag/oskarshamn/-/5565889622
"Happy Homes Karlskrona AB",556708-4586,11128,5,"371 50 Karlskrona","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/happy-homes-karlskrona-ab/karlskrona/-/5567084586
"Happy Homes Borlänge AB",556582-7689,13921,5,"781 71 Borlänge","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/happy-homes-borl%C3%A4nge-ab/borl%C3%A4nge/-/5565827689
"Hanataba AB",556478-4907,18952,12,"245 65 Hjärup","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/hanataba-ab/hj%C3%A4rup/-/5564784907
"Hamngatan 12 i Östersund AB",556483-6996,12368,12,"831 33 Östersund","Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hamngatan-12-i-%C3%B6stersund-ab/%C3%B6stersund/-/5564836996
"Hairtrend i Umeå AB",556958-9806,13059,13,"903 27 Umeå","Fastighetsbolag, lokaler;Hudvårdsprodukter;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hairtrend-i-ume%C3%A5-ab/ume%C3%A5/-/5569589806
"Hagströms i Rimforsa AB",556733-8560,10544,5,"590 44 Rimforsa","Sport;Textilier;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Levande djur;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Blommor, växter och tillbehör",https://www.allabolag.se/foretag/hagstr%C3%B6ms-i-rimforsa-ab/rimforsa/-/5567338560
"HTM Online AB",556883-7784,12819,0,"168 67 Bromma","Postorder/e-handel;Mattor;Läder, skor, inredning, reseeffekter och textilier;Detaljhandel",https://www.allabolag.se/foretag/htm-online-ab/bromma/-/5568837784
"HS Retail Stockholm 1 AB",559168-4955,11320,5,"024
11 320","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hs-retail-stockholm-1-ab/stockholm/-/5591684955
"HML Försäljning AB",559085-2876,11369,1,"862 96 Njurunda","Maskinförnödenheter;Möbler;Grossister;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hml-f%C3%B6rs%C3%A4ljning-ab/njurunda/-/5590852876
"HCN Group AB",559038-1850,10800,3,"237 42 Bjärred","Finansbolag, finansiella tjänster;Ljudanläggningar, ljusanläggningar, bildanläggningar;Möbler;Värdepappershandel;Grossister;Kläder, skor;Konfektion;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hcn-group-ab/bj%C3%A4rred/-/5590381850
"Gynning Design AB",556940-7199,11053,7,"856 33 Sundsvall","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/gynning-design-ab/sundsvall/-/5569407199
"Grebbestad möbler AB",559159-9518,15812,4,"457 72 Grebbestad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/grebbestad-m%C3%B6bler-ab/grebbestad/-/5591599518
"Gourmetstål AB",559266-9286,11169,3,"913 42 Obbola","Postorder/e-handel;Ljudanläggningar, ljusanläggningar, bildanläggningar;Grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/gourmetst%C3%A5l-ab/obbola/-/5592669286
"Gordons Direkt Butiksinredningar Aktiebolag",556525-9446,17239,5,"123 43 Farsta","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/gordons-direkt-butiksinredningar-aktiebolag/farsta/-/5565259446
"Golvman i Trestad Aktiebolag",556209-8458,15378,14,"462 32 Vänersborg","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/golvman-i-trestad-aktiebolag/v%C3%A4nersborg/-/5562098458
"Golfprofilen Sverige AB",556795-3368,11859,3,"302 41 Halmstad","Sport;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/golfprofilen-sverige-ab/halmstad/-/5567953368
"Godhem Living AB",559106-7045,12923,10,"461 30 Trollhättan","Postorder/e-handel;Livsmedel;Restauranger;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/godhem-living-ab/trollh%C3%A4ttan/-/5591067045
"Gnesta Färghus AB",556917-6323,12478,4,"646 31 Gnesta","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Spel, nöjesanläggningsutrustningar;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/gnesta-f%C3%A4rghus-ab/gnesta/-/5569176323
"Global Furniture i Skene Aktiebolag",556247-3875,12138,4,"511 62 Skene","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/global-furniture-i-skene-aktiebolag/skene/-/5562473875
"Gislerud Carpets AB",556680-5577,12519,3,"025
12 519","Belysningsarmatur - Komponenter;Konferensarrangörer;Grossister",https://www.allabolag.se/foretag/gislerud-carpets-ab/stockholm/-/5566805577
"Gislaveds Golvbeläggning AB",556496-7999,19588,13,"024
19 588","Byggmästare;Golvbeläggningar;Mattor;Måleriarbeten;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/gislaveds-golvbel%C3%A4ggning-ab/gislaved/-/5564967999
"Genua Group AB",556700-8379,10023,0,"222 22 Lund","Belysningsarmatur - Komponenter;Byggentreprenader-Infrastruktur;Konsulter;Teknikkonsulter;Grossister",https://www.allabolag.se/foretag/genua-group-ab/lund/-/5567008379
"Garnaffären i Uddevalla AB",556512-1331,10457,3,"451 55 Uddevalla","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/garnaff%C3%A4ren-i-uddevalla-ab/uddevalla/-/5565121331
"Gardinex AB",556774-4296,16530,8,"212 28 Malmö","Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/gardinex-ab/malm%C3%B6/-/5567744296
"Garboprodukter i Gnosjö AB",556729-2817,10889,2,"335 32 Gnosjö","Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/garboprodukter-i-gnosj%C3%B6-ab/gnosj%C3%B6/-/5567292817
"Garageinredning Norden AB",559106-1907,10468,0,"892 92 Domsjö","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/garageinredning-norden-ab/domsj%C3%B6/-/5591061907
"GREENVENTION AB",556836-7501,19725,1,"155 35 Nykvarn","Byggentreprenader-Infrastruktur;Byggmästare;Elinstallationer;Elmateriel;Konsulter;Teknikkonsulter;Grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/greenvention-ab/nykvarn/-/5568367501
"GK Restaurang i Vimmerby AB",559351-5561,10657,8,"593 33 Västervik","Livsmedel;Restauranger;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/gk-restaurang-i-vimmerby-ab/v%C3%A4stervik/-/5593515561
"GAIA Studio AB",556706-1352,17596,2,"114 41 Stockholm","Arkitekter;Designers, formgivare;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/gaia-studio-ab/stockholm/-/5567061352
"G Inredningar AB",556724-3471,18233,3,"181 42 Lidingö","Arkitekter;Designers, formgivare;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/g-inredningar-ab/liding%C3%B6/-/5567243471
"Förnityr AB",556642-7646,14589,3,"653 36 Karlstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/f%C3%B6rnityr-ab/karlstad/-/5566427646
"Färgtrend i Alingsås AB",556113-3991,10127,5,"441 39 Alingsås","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/f%C3%A4rgtrend-i-alings%C3%A5s-ab/alings%C3%A5s/-/5561133991
"Färghuset i Oskarshamn Aktiebolag",556219-6542,16705,4,"572 35 Oskarshamn","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/f%C3%A4rghuset-i-oskarshamn-aktiebolag/oskarshamn/-/5562196542
"Färghallen i Lövånger AB",556268-0701,13840,9,"932 61 Lövånger","Fastighetsbolag, lokaler;Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/f%C3%A4rghallen-i-l%C3%B6v%C3%A5nger-ab/l%C3%B6v%C3%A5nger/-/5562680701
"Färgcity i Lidköping Aktiebolag",556117-2734,15427,6,"531 40 Lidköping","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/f%C3%A4rgcity-i-lidk%C3%B6ping-aktiebolag/lidk%C3%B6ping/-/5561172734
"Färg & Tapetspecialisten Jonas Adolfsson AB",556660-9870,14404,8,"417 30 Göteborg","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/f%C3%A4rg-tapetspecialisten-jonas-adolfsson-ab/g%C3%B6teborg/-/5566609870
"Färg & Hobbyhörnan i Sala AB",556515-7806,13750,4,"733 39 Sala","Byggmästare;Färger, lacker, tapeter;Måleriarbeten;Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/f%C3%A4rg-hobbyh%C3%B6rnan-i-sala-ab/sala/-/5565157806
"Forslunds Glas & Porslin AB",556600-9527,18902,4,"973 45 Luleå","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/forslunds-glas-porslin-ab/lule%C3%A5/-/5566009527
"Formatic Aktiebolag",556584-2738,11398,4,"131 74 Nacka","Belysningsarmatur - Komponenter;Postorder/e-handel;Grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/formatic-aktiebolag/nacka/-/5565842738
"Fogelmarck Form AB",556214-5572,16984,5,"114 59 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/fogelmarck-form-ab/stockholm/-/5562145572
"Flora Linnéa AB",556581-6666,10569,6,"254 37 Helsingborg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/flora-linn%C3%A9a-ab/helsingborg/-/5565816666
"Final Touch Sweden AB",559136-7015,14233,15,"725 91 Västerås","Belysningsarmatur - Komponenter;Byggmästare;Möbler;Snickeriarbeten;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/final-touch-sweden-ab/v%C3%A4ster%C3%A5s/-/5591367015
"Fiber, Stockholm Aktiebolag",556637-4814,14343,3,"187 66 Täby","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/fiber-stockholm-aktiebolag/t%C3%A4by/-/5566374814
"FRITAB Aktiebolag",556561-7007,16154,5,"283 50 Osby","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/fritab-aktiebolag/osby/-/5565617007
"Ergohuset Ermi AB",556505-4243,17795,9,"114 31 Stockholm","Företagsutveckling;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/ergohuset-ermi-ab/stockholm/-/5565054243
"Ercomi i Sverige AB",556643-3180,12595,6,"652 21 Karlstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ercomi-i-sverige-ab/karlstad/-/5566433180
"Envoye AB",556774-5624,16543,7,"511 54 Kinna","Belysningsarmatur - Komponenter;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/envoye-ab/kinna/-/5567745624
"Emcali AB",556253-7414,19730,1,"531 97 Lidköping","Postorder/e-handel;Redovisning, bokföring;Grossister;Metaller, legeringar - grossist;Möbler, inredning, kök- och belysningsutrustning;Skatterådgivning;Detaljhandel",https://www.allabolag.se/foretag/emcali-ab/lidk%C3%B6ping/-/5562537414
"Elon Malmfälten AB",556925-4526,12423,7,"982 35 Gällivare","Järnvaror;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/elon-malmf%C3%A4lten-ab/g%C3%A4llivare/-/5569254526
"Elmodul i Kristinehamn AB",556294-8629,18798,9,"681 30 Kristinehamn","Byggmästare;Elinstallationer;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/elmodul-i-kristinehamn-ab/kristinehamn/-/5562948629
"Elitvaror Matthall AB",556870-6625,16185,11,"891 34 Örnsköldsvik","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/elitvaror-matthall-ab/%C3%B6rnsk%C3%B6ldsvik/-/5568706625
"Eldstaden Växjö AB",559371-7555,15022,4,"352 45 Växjö","Byggmästare;Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/eldstaden-v%C3%A4xj%C3%B6-ab/v%C3%A4xj%C3%B6/-/5593717555
"Elbutiken i Hörby Aktiebolag",556271-4245,11035,4,"242 31 Hörby","Belysningsarmatur - Komponenter;Järnvaror;Hushållsutrustningar, vitvaror;Maskinförnödenheter;Grossister;Hushållsutrustningar, vitvaror - grossister",https://www.allabolag.se/foretag/elbutiken-i-h%C3%B6rby-aktiebolag/h%C3%B6rby/-/5562714245
"Elbutiken Söder AB",559017-5070,10186,7,"802 52 Gävle","Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/elbutiken-s%C3%B6der-ab/g%C3%A4vle/-/5590175070
"Elbolaget i Ludvika Försäljnings Aktiebolag",556390-9554,19145,7,"771 42 Ludvika","Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/elbolaget-i-ludvika-f%C3%B6rs%C3%A4ljnings-aktiebolag/ludvika/-/5563909554
