orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556725-5475,Zodiacon of Sweden AB,Zodiacon of Sweden AB,46649,,46649,STALLARHOLMEN,64562,Tegelugnsvägen 23,Bolaget skall bedriva försäljning och service av professionell tvättutrustning samt storköksprodukter och därmed förenlig verksamhet.,2007-03-07,active,,,,
556741-9709,Entrack AB,Entrack AB,46630,,46630; 25630,JÄRFÄLLA,17543,BRUTTOVÄGEN 6,Bolaget skall bedriva inköp och försäljning av nya och begagnade entreprenadmaskiner och reservdelar samt därmed förenlig verksamhet.,2007-11-05,active,,,,
556726-6233,Koopman International Sverige AB,Koopman International Sverige AB,47122,,47122,KUNGSBACKA,43439,VARLABERGSVÄGEN 29,Bolaget ska bedriva verksamhet som kommissionär inom försäljning av olika slag av lös egendom till konsumenter samt idka därmed förenlig verksamhet.,2007-03-19,active,,,,
556732-2093,Kameradoktorn AB,Kameradoktorn AB,47782,,47782,STOCKHOLM,11429,BIRGER JARLSGATAN 38,Föremålet för bolagets verksamhet är försäljjning av fotografisk apparatur och material samt kursverksamhet och därmed förenlig verksamhet.,2007-06-21,active,,,,
556747-0124,BeRik i Ängelholm AB,BeRik i Ängelholm AB,47402,,47402,VEJBYSTRAND,26654,Fritsa Lyckeväg 1 E,Bolaget ska bedriva försäljning av mobiltelefoner och därmed förenlig verksamhet.,2007-12-18,active,,,,
556733-6697,Supermarket Sweden AB,Supermarket Sweden AB,47510,,47510; 71121,BROMMA,16761,ALADDINSVÄGEN 36,"Bolaget skall formge, producera och försälja egna produkter, företrädesvis inom heminredning och mode. Bolaget skall vidare på konsultbasis formge och rita produkter, designa miljöer, arbeta med designmanagement, produktsortiment samt konceptutveckling och därmed förenlig verksamhet.",2007-07-03,active,,,,
556733-7406,Ohltech AB,Ohltech AB,46649,,46649; 70200,HALLSBERG,69430,ALLÉGATAN 102,"Bolaget ska bedriva försäljning av utrustning och konsulttjänster för processindustrin inom stål, träbränsle och keramisk industri och därmed förenlig verksamhet.",2007-07-03,active,,,,
556744-2404,Uppsala Maskin & Verktyg AB,Uppsala Maskin & Verktyg AB,46841,,46841; 46860,UPPSALA,75105,BOX 235,Bolaget skall direkt eller genom dotterbolag bedriva handels- rörelse inom maskin- och verktygsbranschen och annan därmed förenlig verksamhet.,2007-11-26,active,,,,
556748-1840,BlombergSkoglind AB,BlombergSkoglind AB,47761,,47761,SOLLENTUNA,19279,CELSINGS VÄG 9,Bolaget ska äga och förvalta dotterbolag samt därmed förenlig verksamhet.,2008-01-03,active,,,,
556722-1659,L Å Snökonsult AB,L Å Snökonsult AB,46649,,46649,FRÖSÖN,83293,BÖLE 130,Bolaget ska bedriva konsultation och försäljning vid byggande av nya skidområden och vid ny- och ombyggnad av snösystem men tillhörande produkter Bolaget ska även bedriva framtagande av innovationer samt utveckling av befintliga produkter med hjälp av nya innovationer inom olika affärsområden såsom exempelvis skidindustrin samt därmed förenlig verksamhet.,2007-01-29,active,,,,
