orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug
559337-3854,Maskinera AB,Maskinera AB,E-handel,E-handel,Auktioner; E-handel; Detaljhandel; Detaljhandel - annat,Stockholm,Nacka,Stockholm,131 52,Cylindervägen 18,14301000,2025-02,sweet_spot,true,13,,,info@maskinera.se,https://www.maskinera.se/,https://www.maskinera.se/,https://www.allabolag.se/foretag/maskinera-ab/nacka/-/2KI5EVYI5YDVM,already_present,,
556470-0556,Linfalk AB,Linfalk AB,E-handel,E-handel,Järnvaror; E-handel; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Östergötland,Linköping,Linköping,582 78,Fågelögatan 2,14030000,2025-12,sweet_spot,true,3,,013314020,info@linfalk.se,https://www.linfalk.se/,https://www.linfalk.se/,https://www.allabolag.se/foretag/linfalk-ab/linkoping/-/2K12UFGI5YDVM,already_present,,
556819-4533,Eciggonline.se,Lalicic Trading AB,E-handel,E-handel,E-handel; Tobak; Detaljhandel; Butikshandel,Skåne,Helsingborg,Ödåkra,25473,Kometgatan 19,12198000,2024-12,sweet_spot,true,3,,,info@eciggonline.se,https://www.eciggonline.se/,https://www.eciggonline.se/,https://www.allabolag.se/foretag/eciggonline-se/helsingborg/-/2K35QEDI5YDVM,already_present,,
556357-7195,ELFSTRÖMS POSTORDER Aktiebolag,ELFSTRÖMS POSTORDER Aktiebolag,Postorder,"Apoteksvaror, läkemedel - Partihandel","Apoteksvaror, läkemedel - Partihandel; Apoteksvaror, läkemedel - Distribution; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel",Stockholm,Stockholm,Stockholm,113 41,Norrbackagatan 8 Lgh 1301,8710000,2025-06,sweet_spot,true,1,,0708432334,,,,https://www.allabolag.se/foretag/elfstroms-postorder-aktiebolag/stockholm/-/2K0ERMZI63IM3,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=ELFSTR%C3%96MS%20POSTORDER%20Aktiebolag%20hemsida
556766-9188,Capo AB,Capo AB,E-handel,E-handel,"E-handel; E-handel - Program, system; Reklambyråer",Västra Götaland,Göteborg,Göteborg,41103,Odinsgatan 13,8620000,2024-12,sweet_spot,true,7,,+46 31 14 14 40,mattias.ericson@capo.se,https://www.capo.se,https://www.capo.se,https://www.allabolag.se/foretag/capo-ab/goteborg/-/2K2UH1GI5YDVM,already_present,,
559052-8310,E-Profil Svenska AB,e-Profil Svenska AB,E-handel,E-handel,E-handel; Konfektion; Kläder; Grossister; Reklambyråer,Stockholm,Täby,Täby,183 68,Södra Catalinagränd 3 B,6568000,2025-03,sweet_spot,true,2,,,,http://eprofil.se/,http://eprofil.se/,https://www.allabolag.se/foretag/e-profil-svenska-ab/taby/-/2KGGF92I5YDVM,already_present,,
559408-0151,Postordergruppen i Göteborg AB,Postordergruppen i Göteborg AB,Postorder,Detaljhandel - annat,Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Västra Götaland,Göteborg,Torslanda,423 63,Högenvägen 156,20999000,2024-12,in_band,true,1,,,,,,https://www.allabolag.se/foretag/postordergruppen-i-goteborg-ab/goteborg/-/2KIKJVBI63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Postordergruppen%20i%20G%C3%B6teborg%20AB%20hemsida
559227-3287,E-commerce Recruit Nordic AB,E-commerce Recruit Nordic AB,E-handel,E-handel,Rekrytering; E-handel; Arbetskraftstjänster,,,Stockholm,,,19584000,2025-12,in_band,true,8,,0101993550,info@ecommercerecruit.se,https://www.ecommercerecruit.se/,https://www.ecommercerecruit.se/,https://www.allabolag.se/foretag/e-commerce-recruit-nordic-ab/-/-/2KHHTONI5YDVM,already_present,,
559169-1836,SweITech AB,SweITech AB,E-handel,E-handel,"E-handel; Datorer - Kringutrustningar; Detaljhandel; Postorder/e-handel; Hushållsutrustningar, vitvaror; Hushållsutrustningar, vitvaror - grossister; Grossister",Stockholm,Stockholm,Skärholmen,127 39,Stensätravägen 5,15928000,2024-12,in_band,true,4,,,Support@techhuset.se,https://techhuset.se,https://techhuset.se,https://www.allabolag.se/foretag/sweitech-ab/stockholm/-/2KH5D18I5YDVM,already_present,,
559112-2204,Vapenation AB,Vapenation AB,E-handel,E-handel,Tobak; E-handel; Detaljhandel; Butikshandel,Uppsala,Enköping,Enköping,749 40,Annelundsgatan 17 c,4386000,2025-06,in_band,true,2,,,info@vapenation.se,,,https://www.allabolag.se/foretag/vapenation-ab/enkoping/-/2KGT5I4I5YDVM,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Vapenation%20AB%20hemsida
