orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556011-1907,Exqvisita Aktiebolag,Exqvisita Aktiebolag,42210,,42210; 46832,VÄXJÖ,35235,VÄRENDSGATAN 37,"Bolaget ska bedriva konsultverksamhet inom media - såsom journalistiskt arbete och annat arbete med kommunikation, konsultverksamhet inom VVS, handel uthyrning, reparationer occh service av maskiner och verktyg inom trädgård, jord- och skogsbruk",1912-10-23,active,,,,
556011-2772,Eslövs Måleri och Byggservice AB,Eslövs Måleri och Byggservice AB,41000,,41000; 43341; 43330,FALUN,79127,BOX 292,Föremålet för bolagets verksamhet är att utföra underhålls- och reparationsarbeten på fastigheter. Verksamheten skall även innefatta nyproduktion av fastigheter och därmed förenlig verksamhet.,1912-12-18,active,,,,
556017-9862,Otto Elmgrens Aktiebolag,Otto Elmgrens Aktiebolag,70200,,70200,NACKA,13153,Forumvägen 12,"Bolaget skall äga och förvalta värdepapper, bedriva redovisningsverksamhet samt därmed förenlig verksamhet.",1919-11-13,active,,,,
556023-3610,CGC Aktiebolag,CGC Aktiebolag,69201,,69201,KARLSTAD,65455,GYLLENIUSGATAN 28  LGH 1101,"Bolaget ska direkt eller indirekt äga och förvalta fast och lös egendom, bedriva handel med värdepapper samt därmed förenlig verksamhet.",1924-10-10,active,,,,
556037-0040,Wilson PENGEN AB,Wilson PENGEN AB,70200,,70200; 64993; 66120,BÅSTAD,26936,ALLÉVÄGEN 11,"Bolaget bedriver verksamhet med konsultationer inom ekonomi, redovisning, marknadsföring och inom turism-, event- och konferensverksamhet, handel med värdepapper för egen räkning, handel med lös egendom inom fastighetstillbehör, byggnadsvård och antikviteter, kuriosa samt därmed förenlig verksamhet.",1938-02-28,active,,,,
556031-4170,Wasa Express & Åkeri Aktiebolag,Wasa Express & Åkeri Aktiebolag,49410,,49410,STOCKHOLM,11139,REGERINGSGATAN 82  LGH 1201,"Bolaget skall bedriva åkerirörelse samt idka handel med bilar, oljeprodukter och byggnadsmaterial samt i samband därmed stående verksamhet.",1932-09-12,active,,,,
556031-9245,Aktiebolaget Trollhättans Fjärr-Gods,Aktiebolaget Trollhättans Fjärr-Gods,49410,,49410,UDDEVALLA,45142,PARKGATAN 10 B,Bolaget skall bedriva åkerirörelse samt därmed förenlig verksamhet.,1933-02-27,active,,,,
556033-7742,Stockholms Trävaruaktiebolag,Stockholms Trävaruaktiebolag,70100,,70100,STAVSNÄS,13903,BOX 69,"Bolaget skall ha till föremål för sin verksamhet att bedriva industri- och handelsrörelse inom branschen för trä- och byggnadsvaror samt emballage, äga och förvalta fast egendom och aktier, samt ävensom idka därmed förenlig verksamhet.",1935-01-18,active,,,,
556040-1910,Adapt Revision AB,Adapt Revision AB,69202,,69202,STOCKHOLM,11348,HAGAGATAN 3,Aktiebolagets verksamhet ska vara att bedriva revisionsbyråverksamhet samt företagsrådgivning inom ekonomi och administration.,1941-05-21,active,,,,
556037-0719,Kendrill AB,Kendrill AB,43999,,43999,HÄGERSTEN,12630,Elektravägen 3,"Bolaget skall utföra entreprenadarbeten företrädesvis betongsågning och rivning av betongkonstruktioner, försäljning och uthyrning av maskiner och diamantverktyg för dylik verksamhet samt tillhandahålla tjänster för ökande av säkerheten i vägnätet.",1938-03-21,active,,,,
556027-4754,Aktiebolaget Carl Francke,Aktiebolaget Carl Francke,70200,,70200; 62100,SALTSJÖ-BOO,13245,LILJEKONVALJENS VÄG 55,Bolaget skall idka konsultverksamhet inom management och språkvård samt driva därmed förenlig rörelse.,1928-12-22,active,,,,
556031-0830,Jale AB,Jale AB,49410,,49410; 52219,MORA,79224,BOX 227,Bolaget skall bedriva åkerirörelse samt idka därmed förenlig verksamhet.,1932-05-18,active,,,,
556010-7145,Ansell Protective Solutions AB,Ansell Protective Solutions AB,70100,,70100,MALMÖ,21532,HYLLIE STATIONSTORG 31,"Bolaget skall tillverka och bedriva handel med ett utbud av kirurg-, undersöknings-, hushålls- och industriella handskar och personlig skyddsutrustning samt bedriva därmed förenlig verksamhet.",1911-12-22,active,,,,
556016-0789,HSB Produktion Aktiebolag,HSB Produktion Aktiebolag,41000,,41000,STOCKHOLM,11226,Fleminggatan 37,"Bolaget skall bedriva produktion-, konsult- och entreprenadverksamhet inom bygg- och fastighetsmarknaden. Bolaget har också att bedriva handel med fastigheter samt annan därmed sammanhängande verksamhet.",1918-08-21,active,,,,
556022-6036,Revolt Powercharge AB,Revolt Powercharge AB,43210,,43210,KISTA,16440,BORGARFJORDSGATAN 18,"Bolaget skall hjälpa villaägare, bostadsrättsföreningar, företag och fastighetsbolag att bidra till den gröna omställningen genom försäljning och installation av solceller, elbilsladdare och därmed förenlig verksamhet.",1924-01-28,active,,,,
556028-4753,N.P. Ringström Aktiebolag,N.P. Ringström Aktiebolag,43342,,43342,STOCKHOLM,11625,ÖSTGÖTAGATAN 9,"Bolaget skall driva glasmästeri, glassliperi och handelsrörelse med byggnadsglas jämte därmed förenlig verksamhet.",1929-12-11,active,,,,
556037-1477,Henry Dunkers Förvaltningsaktiebolag,Henry Dunkers Förvaltningsaktiebolag,70200,,70200,HELSINGBORG,25223,STORTORGET 16,Bolaget skall förvärva och förvalta aktier och lös egendom samt därmed förenlig verksamhet.,1938-04-11,active,,,,
556022-4528,Anjawe AB,Anjawe AB,69201,,69201,FALUN,79146,KYRKVÄGEN 3 A,"Bolaget skall bedriva ekonomi konsultationer med inriktning på redovisning och beskattning. Företagsbildningar, löpande redovisning, bokslut, årsredovisningar, deklarationer och löner samt därmed förenlig verksamhet.",1923-11-30,active,,,,
556047-6235,Skärpet Förvaltnings Aktiebolag,Skärpet Förvaltnings Aktiebolag,70200,,70200,STOCKHOLM,11452,SKEPPARGATAN 25 B,"Bolaget skall bedriva konsultverksamhet inom ekonomisk redovisning, databehandling, handla med samt äga och förvalta fast egendom, administrativ verksamhet, företagsledning och därmed förenlig verksamhet.",1946-06-11,active,,,,
556009-0838,All square AB,All square AB,69201,,69201,LJUNGSKILE,45933,SJÖLYCKEVÄGEN 6,"Föremålet för bolagets verksamhet är att bedriva ekonomisk och juridisk konsultverksamhet, äga och förvalta värdepapper, såväl fast som lös egendom samt därmed förenlig verksamhet.",1909-08-16,active,,,,
556032-7131,Lindskog & Gyllström Aktiebolag,Lindskog & Gyllström Aktiebolag,43411,,43411,VÄSTRA FRÖLUNDA,42131,BRITTA SAHLGRENS GATA 3,Aktiebolaget ska bedriva plåtslagerirörelse samt därmed förenlig verksamhet.,1933-12-20,active,,,,
556016-9103,Aras II Aktiebolag,Aras II Aktiebolag,71121,,71121,ONSALA,43992,VÄSTRA STRANDVÄGEN 3,"Bolaget skall bedriva konsultverksamhet inom plåtbeläggning och övrig byggnadsverksamhet, samt äga och förvalta värdepapper och fastigheter samt idka därmed förenlig verksamhet.",1919-02-14,active,,,,
556022-5236,Älmhults Trafik o Taxi Aktiebolag,Älmhults Trafik o Taxi Aktiebolag,49330,,49330,ÄLMHULT,34332,KNUTSGATAN 28,"Bolaget skall bedriva taxi- och bussrörelse, bud och godstransport, värdepappershandel, uthyrning av personal och därmed förenlig verksamhet.",1924-01-04,active,,,,
556021-0121,Bröderna Kollbergs Grävmaskiner Aktiebolag,Bröderna Kollbergs Grävmaskiner Aktiebolag,43120,,43120,JÄRNA,15395,ÄNGSTUGAN,Bolaget skall bedriva entreprenadverksamhet inom grävmaskinbranschen ävensom idka därmed förenlig verksamhet.,1922-08-11,active,,,,
