orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,domain,email,contact_page,source,is_webshop,webshop_signals,webshop_platform,webshop_debug,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons,debug
,Maskinera AB,Maskinera AB,E-handel,E-handel,Auktioner; E-handel; Detaljhandel; Detaljhandel - annat,Stockholm,Nacka,Stockholm,131 52,Cylindervägen 18,14301000,2025-02,sweet_spot,true,13,,+46 8 91 04 11,info@maskinera.se,https://www.maskinera.se/,https://www.maskinera.se/,https://www.allabolag.se/foretag/maskinera-ab/nacka/-/2KI5EVYI5YDVM,already_present,,,maskinera.se,info@maskinera.se; filip.multan@maskinera.se; andreas.einarsson@maskinera.se,https://maskinera.se,static,yes,product_cards; priced_cards,,static@https://maskinera.se:pricedCards(multiPrices) | static@https://maskinera.se:productCards(200) | DECISION@static@https://maskinera.se,40,5,37,39,0,0,0,12,432,100,18,no,,49,"is_webshop, catalog_20plus, seo_gap_low, has_email",dom_fallback:40_urls | seo_sampled:5 gap:18
,Linfalk AB,Linfalk AB,E-handel,E-handel,Järnvaror; E-handel; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Östergötland,Linköping,Linköping,582 78,Fågelögatan 2,14030000,2025-12,sweet_spot,true,3,,+46 13 31 40 20,info@linfalk.se,https://www.linfalk.se/,https://www.linfalk.se/,https://www.allabolag.se/foretag/linfalk-ab/linkoping/-/2K12UFGI5YDVM,already_present,,,linfalk.se,info@linfalk.se,https://linfalk.se,static,yes,product_cards; priced_cards,,static@https://linfalk.se:pricedCards(priceMicrodata) | static@https://linfalk.se:productCards(54) | DECISION@static@https://linfalk.se,80,5,21,27,0,0,0,69,0,100,40,no,,65,"is_webshop, catalog_50plus, seo_gap_low, thin_product_copy, has_email",sitemap:80_products_from_2_sitemaps | seo_sampled:5 gap:40
556819-4533,,Lalicic Trading AB,E-handel,E-handel,E-handel; Tobak; Detaljhandel; Butikshandel,Skåne,Helsingborg,Ödåkra,25473,Kometgatan 19,12198000,2024-12,sweet_spot,true,3,,,info@eciggonline.se,https://www.eciggonline.se/,https://www.eciggonline.se/,https://www.allabolag.se/foretag/eciggonline-se/helsingborg/-/2K35QEDI5YDVM,already_present,,,eciggonline.se,info@eciggonline.se,https://eciggonline.se,static,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:klarna,klarna,static@https://eciggonline.se:hasCheckout(urlPath:/betalning) | static@https://eciggonline.se:hasCart(uiPhrase) | static@https://eciggonline.se:pricedCards(multiPrices) | static@https://eciggonline.se:providers(klarna) | static@https://eciggonline.se:productCards(80) | DECISION@static@https://eciggonline.se,,,,,,,,,,,,no,,41,"is_webshop, platform:klarna, has_email, has_orgnr",dom_fallback:0_urls
556357-7195,ELFSTRÖMS POSTORDER Aktiebolag,ELFSTRÖMS POSTORDER Aktiebolag,Postorder,"Apoteksvaror, läkemedel - Partihandel","Apoteksvaror, läkemedel - Partihandel; Apoteksvaror, läkemedel - Distribution; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel",Stockholm,Stockholm,Stockholm,113 41,Norrbackagatan 8 Lgh 1301,8710000,2025-06,sweet_spot,true,1,,0708432334,,,,https://www.allabolag.se/foretag/elfstroms-postorder-aktiebolag/stockholm/-/2K0ERMZI63IM3,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=ELFSTR%C3%96MS%20POSTORDER%20Aktiebolag%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556766-9188,Capo AB,Capo AB,E-handel,E-handel,"E-handel; E-handel - Program, system; Reklambyråer",Västra Götaland,Göteborg,Göteborg,41103,Odinsgatan 13,8620000,2024-12,sweet_spot,true,7,,+46 72 088 97 56,mattias.ericson@capo.se,https://www.capo.se,https://www.capo.se,https://www.allabolag.se/foretag/capo-ab/goteborg/-/2K2UH1GI5YDVM,already_present,,,capo.se,mattias.ericson@capo.se,https://www.capo.se/om-oss,browser,no,sampled_3; sample_addtocart_2,,main@https://www.capo.se/:samplingRan(sampled=3) | sampleURL@https://capo.se/tjanster/produkter/digital-asset-portal:status=200 | sampleURL@https://capo.se/tjanster/produkter/digital-product-passport:status=200:ATC | sampleURL@https://capo.se/tjanster/produkter/reservdelsportal:status=200:ATC,,,,,,,,,,,,no,,5,has_identity,
,,e-Profil Svenska AB,E-handel,E-handel,E-handel; Konfektion; Kläder; Grossister; Reklambyråer,Stockholm,Täby,Täby,183 68,Södra Catalinagränd 3 B,6568000,2025-03,sweet_spot,true,2,,,,http://eprofil.se/,http://eprofil.se/,https://www.allabolag.se/foretag/e-profil-svenska-ab/taby/-/2KGGF92I5YDVM,already_present,,,eprofil.se,,https://eprofil.se,browser,no,,,,,,,,,,,,,,,no,,0,unreachable_or_parked,HTTP 500 | method:browser
559408-0151,Postordergruppen i Göteborg AB,Postordergruppen i Göteborg AB,Postorder,Detaljhandel - annat,Detaljhandel - annat; Detaljhandel; Postorder/e-handel,Västra Götaland,Göteborg,Torslanda,423 63,Högenvägen 156,20999000,2024-12,in_band,true,1,,,,,,https://www.allabolag.se/foretag/postordergruppen-i-goteborg-ab/goteborg/-/2KIKJVBI63ILV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Postordergruppen%20i%20G%C3%B6teborg%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
,E-commerce Recruit Nordic AB,E-commerce Recruit Nordic AB,E-handel,E-handel,Rekrytering; E-handel; Arbetskraftstjänster,,,Stockholm,,,19584000,2025-12,in_band,true,8,,+46 10 199 35 50,info@ecommercerecruit.se,https://www.ecommercerecruit.se/,https://www.ecommercerecruit.se/,https://www.allabolag.se/foretag/e-commerce-recruit-nordic-ab/-/-/2KHHTONI5YDVM,already_present,,,ecommercerecruit.se,info@ecommercerecruit.se,https://ecommercerecruit.se,static,no,product_cards,,static@https://ecommercerecruit.se:productCards(9),,,,,,,,,,,,no,,5,has_identity,
559169-1836,O Sweitech AB,SweITech AB,E-handel,E-handel,"E-handel; Datorer - Kringutrustningar; Detaljhandel; Postorder/e-handel; Hushållsutrustningar, vitvaror; Hushållsutrustningar, vitvaror - grossister; Grossister",Stockholm,Stockholm,Skärholmen,127 39,Stensätravägen 5,15928000,2024-12,in_band,true,4,,,Support@techhuset.se,https://techhuset.se,https://techhuset.se,https://www.allabolag.se/foretag/sweitech-ab/stockholm/-/2KH5D18I5YDVM,already_present,,,techhuset.se,,https://techhuset.se,static,yes,cart; checkout; product_cards; priced_cards,,static@https://techhuset.se:hasCheckout(urlPath:/checkout) | static@https://techhuset.se:hasCart(uiPhrase) | static@https://techhuset.se:pricedCards(multiPrices) | static@https://techhuset.se:productCards(77) | DECISION@static@https://techhuset.se,,,,,,,,,,,,no,,28,"is_webshop, has_orgnr",dom_fallback:0_urls
559112-2204,Vapenation AB,Vapenation AB,E-handel,E-handel,Tobak; E-handel; Detaljhandel; Butikshandel,Uppsala,Enköping,Enköping,749 40,Annelundsgatan 17 c,4386000,2025-06,in_band,true,2,,,info@vapenation.se,,,https://www.allabolag.se/foretag/vapenation-ab/enkoping/-/2KGT5I4I5YDVM,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Vapenation%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
